Topic,Date,"Registration<br>Link",Location,Recording,Slides,Instructor/<br>Facilitator
"<details><summary>[Intro to Wulver: HPC Resources & Allocations]()</summary>This virtual session will provide essential information about the Wulver cluster, how to get an account, and allocation details, accessing installed software.</details>","January 28<br>2:30pm - 3:30pm","[:fontawesome-solid-user-plus:](https://njit-edu.zoom.us/webinar/register/WN_ZuEAlu2tTCm2nfMUhPH0sg)",Online ,-, -,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
"<details><summary>[COMPLECS: Intermediate Linux]()</summary>Linux command line interface (CLI) skills are essential for advanced cyberinfrastructure (CI). This session covers filesystem hierarchy, permissions, links, wildcards, finding files, environment variables, modules, config files, aliases, history & Bash scripting tips.</details>","January 29<br>11:00am - 12:30pm","[:fontawesome-solid-user-plus:](https://na.eventscloud.com/intermediate-linux-01-29-26)",Online,-,-,"External Event,<br>hosted by [SDSC](https://www.sdsc.edu/)"
"<details><summary>[Intro to Wulver: Job Scheduler & Running Jobs]()</summary> This webinar will introduce researchers, scientists, and HPC users to the fundamentals of the SLURM (Simple Linux Utility for Resource Management) workload manager. This virtual session will provide the information on effectively utilizing HPC resources through SLURM. </details>","February 4<br>2:30pm - 3:30pm",[:fontawesome-solid-user-plus:](https://njit-edu.zoom.us/webinar/register/WN_IO5oMXbkREqW5aWsf3f-Wg),Online,-,-,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
"<details><summary>[User Meeting - HPC Updates]()</summary>The details will be updated soon</details>","March 17<br>2:30pm - 3:30pm",Will be updated soon,"Will be updated soon",In-Person Event,-,"[Hui(Julia) Zhao](../about/index.md#research-computing-facilitator)"
"<details><summary>[HPC User Meeting]()</summary>The details will be updated soon.</details>","March 17<br>2:30pm - 3:30pm",Will be updated soon,Will be updated soon,In-Person Event,-,"[Hui(Julia) Zhao](../about/index.md#research-computing-facilitator)"
"<details><summary>[Introduction to Containers]()</summary>This webinar will provide an introductory understanding of container technology and its advantages in high-performance computing environments</details>","April 15<br>2:30pm - 3:30pm",Will be updated soon,Online,-,-,"[Hui(Julia) Zhao](../about/index.md#research-computing-facilitator)"
"<details><summary>[HPC User Meeting - Containers Hands On]()</summary>Join us for this in-person and virtual session to gain the hands on experience with containers.</details>","April 21<br>2:30pm - 3:30pm",Will be updated soon,Will be updated soon,-,-,[Hui(Julia) Zhao](../about/index.md#research-computing-facilitator)
