Topic,Date,"Registration<br>Link",Location,Recording,Slides,Instructor/<br>Facilitator
"<details><summary>[Introduction to Wulver: Getting Started with HPC]()</summary>This virtual session will provide essential information about the Wulver cluster, how to get an account, and allocation details, accessing installed software.</details>","September 23<br>2:30pm - 3:30pm","[:fontawesome-solid-user-plus:](https://njit-edu.zoom.us/webinar/register/WN_Su8Xk0SVRhGI0DcmTrKHPQ)",Online ,-, -,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
"<details><summary>[Introduction to Wulver: Job Submission and Resource Requests]()</summary> This webinar will introduce researchers, scientists, and HPC users to the fundamentals of the SLURM (Simple Linux Utility for Resource Management) workload manager. This virtual session will provide the information on effectively utilizing HPC resources through SLURM. </details>","October 7<br>2:30pm - 3:30pm",[:fontawesome-solid-user-plus:](https://njit-edu.zoom.us/webinar/register/WN_aYqgd29GT320Hv6WrGQglw),Online,-,-,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
"<details><summary>[Introduction to Wulver: Job Efficiency and Resource Utilization]()</summary> This webinar will show HPC users how to make the most of their Wulver allocation. This virtual session will cover monitoring CPU, GPU, and memory usage for running and completed jobs, interpreting job efficiency reports, and right-sizing resource requests to shorten queue wait times and avoid wasted core-hours. </details>","October 21<br>2:30pm - 3:30pm","[:fontawesome-solid-user-plus:](https://njit-edu.zoom.us/webinar/register/WN_hkkzuArdQzK53O3h1xi0UA)",Online,-,-,"[Abhishek Mukherjee](../about/index.md#research-computing-facilitator_1)"
